src,dst,weight
偏差,精米機,2
偏差,精米歩合,2
分布,平均値,2
分布,無効精米歩合,2
分布,白米,2
分布,真精米歩合,2
分布,砕米,2
分布,精米,2
分布,精米歩合,5
千粒重,原料米,6
千粒重,平均値,2
千粒重,玄米,7
千粒重,白米,6
千粒重,真精米歩合,2
千粒重,精米,5
千粒重,精米歩合,3
千粒重,計算,3
千粒重,酒造原料米,2
原料米,吟醸米,2
原料米,平均値,4
原料米,推移,2
原料米,水分,8
原料米,測定法,2
原料米,無効精米歩合,3
原料米,玄米,9
原料米,白米,24
原料米,相関関係,4
原料米,真精米歩合,6
原料米,砕米,5
原料米,精米,16
原料米,精米機,4
原料米,精米歩合,26
原料米,評価,2
原料米,酒造原料米,3
原料米,重量分布,2
吟醸米,平均値,2
吟醸米,採用,2
吟醸米,推定千粒重,2
吟醸米,推移,2
吟醸米,整粒数,2
吟醸米,測定誤差,2
吟醸米,無効精米歩合,3
吟醸米,玄米,2
吟醸米,白米,2
吟醸米,真精米歩合,2
吟醸米,砕米,2
吟醸米,砕米数,2
吟醸米,粒数,2
吟醸米,精米,3
吟醸米,精米初期,2
吟醸米,精米損失,3
吟醸米,精米機,3
吟醸米,精米歩合,4
吟醸米,精米経過,3
吟醸米,累計,2
吟醸米,酒造原料米,2
吟醸米,重量分布,3
平均値,採用,2
平均値,推定千粒重,2
平均値,推移,3
平均値,整粒数,2
平均値,水分,2
平均値,測定誤差,2
平均値,無効精米歩合,2
平均値,玄米,6
平均値,白米,7
平均値,真精米歩合,2
平均値,砕米,2
平均値,砕米数,2
平均値,粒数,2
平均値,精米,6
平均値,精米初期,2
平均値,精米損失,2
平均値,精米機,2
平均値,精米歩合,6
平均値,精米経過,2
平均値,累計,2
平均値,評価,2
平均値,酒造原料米,2
平均値,重量分布,2
採用,推定千粒重,2
採用,推移,2
採用,整粒数,2
採用,測定誤差,2
採用,無効精米歩合,2
採用,白米,2
採用,真精米歩合,2
採用,砕米,2
採用,砕米数,2
採用,粒数,2
採用,精米,2
採用,精米初期,2
採用,精米損失,2
採用,精米機,2
採用,精米歩合,2
採用,精米経過,2
採用,累計,2
採用,酒造原料米,2
採用,重量分布,2
推定千粒重,推移,2
推定千粒重,整粒数,2
推定千粒重,測定誤差,2
推定千粒重,無効精米歩合,4
推定千粒重,玄米,3
推定千粒重,白米,3
推定千粒重,真精米歩合,2
推定千粒重,砕米,3
推定千粒重,砕米数,4
推定千粒重,粒数,2
推定千粒重,精米,4
推定千粒重,精米中,2
推定千粒重,精米初期,2
推定千粒重,精米損失,2
推定千粒重,精米機,4
推定千粒重,精米歩合,3
推定千粒重,精米経過,2
推定千粒重,累計,2
推定千粒重,酒造原料米,2
推定千粒重,重量分布,3
推移,整粒数,2
推移,測定誤差,2
推移,無効精米歩合,2
推移,真精米歩合,2
推移,砕米,2
推移,砕米数,2
推移,粒数,2
推移,精米,2
推移,精米初期,2
推移,精米損失,2
推移,精米機,2
推移,精米歩合,3
推移,精米経過,2
推移,累計,2
推移,酒造原料米,2
推移,重量分布,2
整粒数,測定誤差,2
整粒数,無効精米歩合,2
整粒数,真精米歩合,2
整粒数,砕米,2
整粒数,砕米数,2
整粒数,粒数,2
整粒数,精米,2
整粒数,精米初期,2
整粒数,精米損失,2
整粒数,精米機,2
整粒数,精米歩合,2
整粒数,精米経過,2
整粒数,累計,2
整粒数,酒造原料米,2
整粒数,重量分布,2
水分,無効精米歩合,2
水分,玄米,5
水分,白米,9
水分,相関関係,2
水分,真精米歩合,3
水分,砕米,3
水分,粒数,2
水分,精米,6
水分,精米中,2
水分,精米歩合,7
水分,計算,3
測定誤差,無効精米歩合,2
測定誤差,真精米歩合,2
測定誤差,砕米,2
測定誤差,砕米数,2
測定誤差,粒数,2
測定誤差,精米,2
測定誤差,精米初期,2
測定誤差,精米損失,2
測定誤差,精米機,2
測定誤差,精米歩合,2
測定誤差,精米経過,2
測定誤差,累計,2
測定誤差,計算,5
測定誤差,酒造原料米,2
測定誤差,重量分布,2
無効精米歩合,玄米,9
無効精米歩合,白米,9
無効精米歩合,真精米歩合,7
無効精米歩合,砕米,4
無効精米歩合,砕米数,4
無効精米歩合,粒数,2
無効精米歩合,精米中,2
無効精米歩合,精米初期,2
無効精米歩合,精米損失,4
無効精米歩合,精米機,10
無効精米歩合,精米経過,3
無効精米歩合,累計,2
無効精米歩合,酒造原料米,2
無効精米歩合,重量分布,6
玄米,白米,36
玄米,相関関係,2
玄米,真精米歩合,8
玄米,砕米,9
玄米,砕米数,3
玄米,粒数,3
玄米,精米,33
玄米,精米中,4
玄米,精米損失,4
玄米,精米機,12
玄米,精米歩合,21
玄米,精米経過,2
玄米,計算,3
玄米,重量分布,6
白米,相関関係,5
白米,真精米歩合,11
白米,砕米,9
白米,砕米数,3
白米,粒数,3
白米,精米,44
白米,精米中,4
白米,精米損失,4
白米,精米機,12
白米,精米歩合,46
白米,精米経過,2
白米,計算,3
白米,酒造原料米,4
白米,重量分布,6
相関関係,砕米,2
相関関係,精米,2
相関関係,精米歩合,3
真精米歩合,砕米,3
真精米歩合,砕米数,2
真精米歩合,粒数,3
真精米歩合,精米,9
真精米歩合,精米中,2
真精米歩合,精米初期,2
真精米歩合,精米損失,4
真精米歩合,精米機,7
真精米歩合,精米歩合,12
真精米歩合,精米経過,2
真精米歩合,累計,2
真精米歩合,酒造原料米,3
真精米歩合,重量分布,5
砕米,砕米数,3
砕米,粒数,3
砕米,精米,13
砕米,精米中,2
砕米,精米初期,2
砕米,精米損失,2
砕米,精米機,6
砕米,精米歩合,6
砕米,精米経過,2
砕米,累計,2
砕米,計算,2
砕米,酒造原料米,2
砕米,重量分布,2
砕米数,粒数,2
砕米数,精米,4
砕米数,精米中,2
砕米数,精米初期,2
砕米数,精米損失,2
砕米数,精米機,4
砕米数,精米歩合,3
砕米数,精米経過,2
砕米数,累計,2
砕米数,酒造原料米,2
砕米数,重量分布,3
粒数,精米,4
粒数,精米中,3
粒数,精米初期,2
粒数,精米損失,2
粒数,精米機,3
粒数,精米歩合,3
粒数,精米経過,2
粒数,累計,2
粒数,計算,2
粒数,酒造原料米,2
粒数,重量分布,2
精米,精米中,4
精米,精米初期,2
精米,精米損失,4
精米,精米機,18
精米,精米経過,3
精米,累計,2
精米,計算,3
精米,酒造原料米,3
精米,重量分布,7
精米中,精米機,3
精米中,精米歩合,3
精米中,計算,2
精米中,重量分布,2
精米初期,精米損失,2
精米初期,精米機,2
精米初期,精米歩合,2
精米初期,精米経過,2
精米初期,累計,2
精米初期,酒造原料米,2
精米初期,重量分布,2
精米損失,精米機,5
精米損失,精米歩合,5
精米損失,精米経過,3
精米損失,累計,2
精米損失,酒造原料米,2
精米損失,重量分布,4
精米機,精米歩合,14
精米機,精米経過,3
精米機,累計,2
精米機,計算,2
精米機,酒造原料米,2
精米機,重量分布,6
精米歩合,精米経過,3
精米歩合,累計,2
精米歩合,計算,2
精米歩合,評価,2
精米歩合,酒造原料米,6
精米歩合,重量分布,9
精米経過,累計,2
精米経過,酒造原料米,2
精米経過,重量分布,3
累計,酒造原料米,2
累計,重量分布,2
計算,重量分布,2
酒造原料米,重量分布,3
AMP,アミノ,3
PLP,アミノ,5
PLP,ホスホリラーゼ,2
PLP,リン,2
PLP,基質,2
PLP,補酵素,5
PLP,酵素,2
PLP,酸基,2
アミノ,ウサギ,2
アミノ,グリコーゲン,2
アミノ,グルカン,3
アミノ,グループ,9
アミノ,サブユニット,7
アミノ,ジャガイモ,2
アミノ,デンプン,10
アミノ,ホスホリラーゼ,2
アミノ,リン,4
アミノ,一次構造,3
アミノ,作用,9
アミノ,分子量,9
アミノ,分岐,2
アミノ,反応,18
アミノ,合成,9
アミノ,基質,12
アミノ,大腸菌,3
アミノ,存在,10
アミノ,微生物,9
アミノ,残基,4
アミノ,結合,8
アミノ,補酵素,4
アミノ,貯蔵部位,2
アミノ,酵素,29
アミノ,酸化,2
アミノ,酸基,2
アミノ,酸配列,15
ウサギ,大腸菌,2
ウサギ,存在,2
ウサギ,残基,2
ウサギ,酸配列,2
グリコーゲン,グルカン,2
グリコーゲン,グループ,2
グリコーゲン,分子量,2
グリコーゲン,存在,2
グルカン,デンプン,4
グルカン,一次構造,2
グルカン,作用,2
グルカン,分子量,3
グルカン,合成,2
グルカン,残基,3
グルカン,結合,5
グルカン,酵素,4
グルカン,酸配列,2
グループ,デンプン,4
グループ,リン,3
グループ,反応,2
グループ,合成,2
グループ,存在,2
グループ,微生物,5
グループ,酵素,2
グループ,酸配列,2
サブユニット,デンプン,2
サブユニット,リン,2
サブユニット,作用,4
サブユニット,分子量,2
サブユニット,反応,3
サブユニット,大腸菌,3
サブユニット,存在,4
サブユニット,微生物,3
サブユニット,残基,2
サブユニット,結合,3
サブユニット,貯蔵部位,2
サブユニット,酵素,5
サブユニット,酸化,2
サブユニット,酸配列,3
シクロデキストリン,作用,2
シクロデキストリン,分子量,2
ジャガイモ,デキストリン,2
ジャガイモ,デンプン,2
デキストリン,作用,2
デキストリン,酵素,2
デンプン,リン,3
デンプン,一次構造,2
デンプン,作用,2
デンプン,分子量,3
デンプン,反応,4
デンプン,合成,2
デンプン,基質,3
デンプン,存在,3
デンプン,微生物,3
デンプン,残基,2
デンプン,結合,5
デンプン,貯蔵部位,2
デンプン,酵素,8
デンプン,酸配列,3
ホスホリラーゼ,リン,2
ホスホリラーゼ,補酵素,2
ホスホリラーゼ,酵素,2
ホスホリラーゼ,酸基,2
リン,反応,4
リン,基質,3
リン,大腸菌,2
リン,微生物,2
リン,残基,2
リン,結合,2
